text,label
"This game is so bad.",0
"Why is everything going wrong?",0
"Life is going great.",1
"I'm having so much fun.",1
"Things are going great for me.",1
"This guy is so annoying.",0
"I'm never coming here again.",0
"It wasn't a waste of time after all!",1
"What a waste of time.",0
"I love my life!",1
"This is so interesting.",1
"I hate doing homework.",0
"This is so bland.",0
"The world feels so cold and uninviting.",0
"My friends are so cool.",1
"I'm so thankful to be alive.",1
"This guy pisses me off.",0
"Nothing can ruin this day!",1
"This practice is so useless.",0
"You just ruined my day.",0
"He never lets me do anything I want.",0
"I have all the freedom in the world.",1
"You just made my day.",1
"I'm learning so much.",1
"You've been so helpful to me.",1
"My teacher is so kind.",1
"It's finally time to relax!",1
"Will my pain ever end?",0
"This is the end of my time.",0
"I'm free of this cruel, cruel hell.",0
